Datetime,Tweet_Id,Content,Language,Username,User_id,User_location
2022-06-17 12:59:51+00:00,1537782071464165376,"Rich in love | movie review 

So many incoherences in the movie. Sometimes I wonder like how can someone make a bad movie like this. Like you literally spend millions of dollars, hired cast and crew and took idk 2 years to make this crap, I mean please 
(2/3)
#reviews #Netflix",en,TVlover0001,1531775366800543745,
2022-06-16 18:43:51+00:00,1537506253991297025,"What Bad movie should I do a #MovieReview of first?
#Ghostbusters 2016 or #ResidentEvil Welcome to Raccoon City?
#moviePoll #poll #Netflix",en,Giggavega,1302299822,Yharnam
2022-06-14 13:10:43+00:00,1536697645078663168,Cant tell if Rebel Wilson is a bad actress or if #senioryear is just a bad movie. #Netflix up your game next time please!! 🤚,en,emilykearns_,365721225,South Tipperary
2022-05-05 23:41:00+00:00,1522360746604179456,"If you want to see a very bad movie on Netflix. Go watch The curse of Robert.
Its really the worst movie that tries to be good.
#Netflix #MovieReviews",en,StanvTrigt,315401516,"Lelystad, Nederland"
2022-04-16 12:45:54+00:00,1515310514943012867,"How are we still making movies like this in 2022? #MetalLords is not a bad movie, but it is so so predictable. Within 2 mins of watching I knew how the movie was gonna end. By tonight I won't even remember having watched it.
#Netflix https://t.co/MfglDt7rxW",en,TheMonkeyDF,787605979441590272,Ahloha Oe
2022-04-10 20:10:11+00:00,1513247994279305221,#Netflix Blu Ray rental for the weekend: #VenomLetThereBeCarnage; this long time Spidey comic reader thought this was a bad movie from beginning to end; basically neutered the characters from the comic with PG-13 violence; I like Tom Hardy but that's all. https://t.co/07u3lUUU6N,en,Fcsnva,1040142109,United States.
2022-04-10 03:19:01+00:00,1512993525721272324,"If #thebubblenetflix were a professional football team, it would be the New York Jets.

Holy shit that was one bad movie. 

#Netflix should give us a free month to make up for that cluster fuck...",en,Al_RodMiami,56493637,"Miami, FL"
2022-04-07 03:45:35+00:00,1511913048482717702,#TheBubble is a bad movie &amp; it's awareness of that allows it to be funny at times. It's one of those movies that beats you with cameos but when it isn't doing that it can be enjoyable. #Netflix,en,PastaGut,739647852947836929,"Rochester, NY"
2022-04-05 23:54:02+00:00,1511492388967133186,"#Netflix movie of the day: El Camino: A Breaking Bad Movie (2019, IMDb 7.3)
Fugitive Jesse Pinkman attempts to outrun his past. Written and directed by ""Breaking Bad"" creato...
Link: https://t.co/fgMfEqtl4C
#WhatToWatch  #movies",en,flixboss,969241693206777859,United States
2022-04-03 17:58:10+00:00,1510678055248969733,"#TheBubble is incredibly boring. It’s a complete waste of talent. Man, just a really bad movie from start to finish. #Netflix",en,PizzaNecklace,234917953,"Pizza, Ohio"
2022-04-03 13:18:20+00:00,1510607635690954754,"BAD MOVIE “We eat our food, take our pills and wait to die. The war is over, pioneer.”-Moussa https://t.co/NXQpupyzI5 #film #movie #MovieReview #AssassinsCreedOrigins #AssassinsCreedVallhalla #game #Netflix #badmovie #Blog #Review #blogging #action #cinema https://t.co/RUMiwhCFg3",en,nabil_bakri,134377238,Indonesia
