Polarity_TB,Subjectivity_TB,Analysis_TB
-1.0,9,#dc2626
-0.8,5,#dc2626
-0.7,327,#dc2626
-0.6,17,#dc2626
-0.5,60,#dc2626
-0.4,89,#dc2626
-0.3,158,#dc2626
-0.2,335,#dc2626
-0.1,499,#dc2626
-0.0,1305,#22d3ee
0.1,1834,#22c55e
0.2,2315,#22c55e
0.3,2502,#22c55e
0.4,4466,#22c55e
0.5,2589,#22c55e
0.6,2039,#22c55e
0.7,11791,#22c55e
0.8,776,#22c55e
0.9,13,#22c55e
1.0,60,#22c55e
