good movie,13289
movie netflix,7855
movie watch,2874
watch netflix,2621
netflix movie,2483
good netflix,2084
netflix good,1738
really good,1732
movie good,1481
pretty good,1289
bad movie,898
need good,798
horror movie,683
feel good,639
looking good,488
breaking bad,455
netflix netflix,441
find good,417
good horror,417
watch movie,406
show movie,393
movie show,384
as movie,370
watching movie,368
scary movie,362
good watch,361
good as,360
know good,355
last night,340
watch good,326
